My,favorite,professors,planted,ideas,and,nurtured,and,fed,the,students,until,they,flourished,and,produced,their,own,fruitful,ideas,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It,describes,best,what,the,teacher,is,and,what,the,students,are,.,The,best,teachers,guided,students,through,their,class,and,if,necessary,gave,them,orders,and,discipline,but,did,not,do,their,work,for,them,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,plants,have,to,find,their,own,way,to,grow,up,towards,the,sun,and,receive,nourishment,but,the,teacher,can,help,along,the,way,by,providing,extra,resources,or,insight,in,order,to,facilitate,that,growth,.,That,seems,like,a,good,way,of,thinking,about,the,classroom,experience,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My,teachers,were,much,like,captains,.,They,oversaw,their,classrooms,and,commanded,respect,.,You,did,not,goof,off,in,those,classes,.,It,was,their,job,to,educate,you,on,the,material,and,get,you,to,your,destination,which,was,a,passing,grade,for,that,class,.,If,you,followed,the,command,of,your,leader,you,would,arrive,at,that,destination,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It,just,sounds,the,most,fitting,.,As,a,student,you,are,fresh,and,growing,and,learning,.,If,there,teacher,does,his,job,right,the,student,will,blossom,into,a,full,grown,flower,AKA,someone,who,is,mature,educated,and,ready,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It,represents,the,good,professors,Ive,had,so,far,in,my,college,education,.,A,good,professor,nurtures,a,student,and,helps,him,or,her,succeed,without,coddling,it,or,simply,letting,it,slide,by,.,I,think,the,imagery,of,a,plant,represents,a,students,growth,well,and,shows,that,the,gardener,simply,cant,grow,something,without,the,plant,and,the,plant,cant,grow,without,the,gardener,.,Its,a,partnership,that,represents,success,for,both,parties,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,think,that,teachers,are,there,to,help,students,learn,and,grow,.,When,you,are,done,with,a,class,you,will,always,know,something,more,than,you,knew,before,and,so,your,knowledge,grows,like,a,plant,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,feel,that,a,teacher,is,part,of,the,whole,process,and,not,just,the,leader,as,like,in,a,garden,.,We,are,growing,and,learning,because,of,the,teachers,guidance,knowledge,and,support,.,The,teacher,was,one,of,us,before,and,now,they,are,helping,our,minds,grow,into,our,own,flowers,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This,is,the,closest,.,It,still,lacks,nuance,.,A,teacher,imparts,wisdom,and,pushes,students,towards,a,goal,.,However,a,teacher,in,the,humanities,me,gives,the,student,the,tools,necessary,to,run,their,own,race,in,their,own,way,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As,I,said,in,the,explanation,before,I,think,this,analogy,works,best,because,it,puts,teacher,and,student,in,the,same,boat,.,I,mean,theyre,literally,in,a,boat,and,they,have,a,clear,objective,which,is,to,figure,out,how,to,and,then,sail,the,thing,so,they,get,to,wherever,theyd,like,to,head,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Like,I,wrote,before,its,the,metaphor,that,I,feel,best,reflects,reality,.,A,teacher,in,a,single,semester,can,not,do,much,more,than,show,the,sights,to,his,or,her,students,just,like,a,tour,guide,in,an,exotic,city,.,Hopefully,however,the,students,decide,to,dig,deeper,on,their,own,because,they,have,been,inspired,to,learn,more,.,A,great,teacher,and,a,great,tour,guide,both,provide,this,inspiration,.,I,had,a,teacher,just,like,this,in,my,Intro,to,Business,Law,elective,class,who,could,truly,only,give,the,absolute,bare,bones,of,the,subject,in,our,2,hours,together,each,week,but,he,showed,me,how,fascinating,the,law,is,.,While,I,didnt,go,on,to,study,the,law,nor,do,I,intend,to,I,love,reading,Nolo,guides,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,prefer,this,metaphor,because,it,shows,that,students,are,most,likely,going,to,grow,but,with,careful,and,consistent,attention,from,their,gardener,teachers,they,can,grow,even,more,than,before,.,It,helps,me,envision,teachers,as,doing,everything,they,can,to,provide,an,environment,for,success,for,their,growing,students,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
