"Notes","Exclude","StartDate","EndDate","Status","IPAddress","Progress","Durationinseconds","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","WorkerID","AgreeParticipate","CollTeachThoughts","SculptorRating","SculptorExplain","sculptor_effortlackof","sculptor_effortany","sculptor_sdllackof","sculptor_sdlany","sculptor_pglackof","sculptor_pgany","sculptor_enjoylow","sculptor_enjoyhigh","sculptor_feedbacklackof","sculptor_feedbackany","sculptor_carelackof","sculptor_careany","sculptor_infllackof","sculptor_inflany","sculptor_admirelackof","sculptor_admireany","GardenerRating","GardenerExplain","gardener_effortlackof","gardener_effortany","gardener_sdllackof","gardener_sdlany","gardener_pglackof","gardener_pgany","gardener_enjoylow","gardener_enjoyhigh","gardener_feedbacklackof","gardener_feedbackany","gardener_carelackof","gardener_careany","gardener_infllackof","gardener_inflany","gardener_admirelackof","gardener_admireany","CoachRating","CoachExplain","coach_effortlackof","coach_effortany","coach_sdllackof","coach_sdlany","coach_pglackof","coach_pgany","coach_enjoylow","coach_enjoyhigh","coach_feedbacklackof","coach_feedbackany","coach_carelackof","coach_careany","coach_infllackof","coach_inflany","coach_admirelackof","coach_admireany","AppStoreRating","AppStoreExplain","app_effortlackof","app_effortany","app_sdllackof","app_sdlany","app_pglackof","app_pgany","app_enjoylow","app_enjoyhigh","app_feedbacklackof","app_feedbackany","app_carelackof","app_careany","app_infllackof","app_inflany","app_admirelackof","app_admireany","TourGuideRating","TourGuideExplain","tg_effortlackof","tg_effortany","tg_sdllackof","tg_sdlany","tg_pglackof","tg_pgany","tg_enjoylow","tg_enjoyhigh","tg_feedbacklackof","tg_feedbackany","tg_carelackof","tg_careany","tg_infllackof","tg_inflany","tg_admirelackof","tg_admireany","CaptainRating","CaptainExplain","captain_effortlackof","captain_effortany","captain_sdllackof","captain_sdlany","captain_pglackof","captain_pgany","captain_enjoylow","captain_enjoyhigh","captain_feedbacklackof","captain_feedbackany","captain_carelackof","captain_careany","captain_infllackof","captain_inflany","captain_admirelackof","captain_admireany","PersonalMetRank","PersonalMetRank_8_TEXT","PersonalMetExplain","Gender","Gender_5_TEXT","AttentionCheck","RaceEthnicity","RaceEthnicity_7_TEXT","CollegeYesNo","CollegeLongAgo","field","EducationLevel","TeachExp","ExperienceFree","Age_1","Political","LibCons_1","Issues","Comments","mTurkCode","filter_$","recentcollege","sculptmetrat","gardmetrat","coachmetrat","appmetrate","tourmetrate","captmetrate","INC_metaphoricality"
,,"6/20/18 21:06","6/20/18 21:18",0.0,"107.207.50.244",100.0,688.0,1.0,"6/20/18 21:18","R_11ZJrKpGrUK8vsz",,,,,33.89239502,-117.7879028,"anonymous","EN","A3AWC4P8QUK1XB",1.0,"I'm an elementary school teacher and there is no way I could be a college teacher.  College kids can be so lazy!!",2.0,"I'd rather teachers be compared to gardeners or guides rather than sculptors.  The verb mold makes me feel as if teachers are forcing their views onto the students (which we may sometimes do) rather than leading them through to the different answers.  This rubbed me the wrong way.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,3.0,"This metaphor would work better for elementary school.  While college students are still growing, I don't think of college teachers as nurturing as elementary school teachers are.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,"Coaches are a type of teacher, albeit athletic rather than academic.  Athletes learn from their coaches and students learn from their teachers.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,"Students as users have ""access"" to teachers.  As a store, the teachers have a plethora of ""apps"", or advice/knowledge, which students can use.  However, teachers aren't controlled by students like app stores are controlled by users.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,"Students are touring through the country of knowledge in whatever subject they are taking.  The teachers are the experts (hopefully) and guide the tourists around.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,"This metaphor would work if you think of a room like a ship and the journey one of subject knowledge.  The teacher is the leader which guides the year and the students learn from this leader.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,,"Coaches are a type of teacher, they offer advice, they guide, they instruct, they encourage.  Students are academic athletes who must learn from their teachers, but when they are out in the ""field"" (taking a test or working a job) they must rely on what they learned from their coach.  They are on their own.",2.0,,3.0,1.0,,1.0,6.0,"Child Development and Educational Technology",6.0,1.0,"I just finished my 21st year as an elementary school teacher.  I currently teach fourth grade in a public school in Orange County, California.",45.0,3.0,50.0,"No issues at all.","I didn't care for any of the metaphors oddly.  Thank you for the work!  :)","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM37968757973</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,0.0,4.0,3.0,1.0,4.0,3.0,5.0,1.0
,,"6/20/18 16:06","6/20/18 16:19",0.0,"71.163.64.167",100.0,773.0,1.0,"6/20/18 16:19","R_12GqeAi2l1fcuEg",,,,,38.95199585,-77.01999664,"anonymous","EN","A1LUZ1LUPUWUIL",1.0,"A college teacher is an expert in a particular subject matter. They are expected to speak well, and care about the student's education. They should be interested in their subject.",2.0,"This makes the students sound completely passive, which I don't like. Education is a result of the teacher AND the student cooperating. Students have choices and different interests and aren't just molded by the teachers.",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"This makes student completely passive. The students-as-plants depend completely on the action of the teacher, which shouldn't be the case. It makes the process of educating overly simple, formulaic and easy, with both teacher and students not really working hard.",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"This is a fine metaphor. There is work and agency on the part of both students and teachers. However, while success is exactly the same thing for every member of a team (winning) that isn't true for students, who can all want and receive different things from the same teacher.",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"This makes teachers seem completely un-unique, as if everything they do is just a formula. It makes them sound like tools for the student to use, and I think this is almost the opposite of teaching.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"It makes the process of education sound casual and unimportant. Tourists are just visitors, and don't really take anything away when they leave a place. Students should be dedicated to learning, and plan for education to become a permanent part of who they are. A tour guide doesn't need to be much of an expert or have enthusiam.",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,"This is a great metaphor. The captain leads the crew and makes important decisions, but doesn't do all the work. Different crew members have the same ultimate goal, but their tasks and skills can vary.",1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,,"The best college teachers steer things in a particular direction but don't dictate every single step to take to get there. Different sailors do different things, just like different students have different talents, interests and goals. I like the idea of the class (the ship) making progress in the right direction, but having to travel and work to get there.",2.0,,3.0,1.0,,1.0,1.0,"Literature",6.0,2.0,,32.0,1.0,15.0,"none","none","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM71481368766</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0
,,"6/20/18 10:40","6/20/18 10:48",0.0,"75.177.98.242",100.0,475.0,1.0,"6/20/18 10:48","R_12rmnsgNuhyG3jD",,,,,36.46170044,-80.61910248,"anonymous","EN","A2C84POENS2UNY",1.0,"someone very educated and trained who cares a lot about knowledge and wanting to share it with others.  I think of someone dedicated to learning life long.",3.0,"This is somewhat true, in the sense that the teacher is molding and shaping the students through what they teach them and what they learn, but especially for older students I would say this puts too much emphasis on the power of the teacher and doesn't give any power to students.  students aren't just helpless lumps of clay.  they also participate and can contribute to the outcome",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,"The teacher spends time tending to their students, just like a gardener does, and doing things to nurture them and help them grow like water them, give them food, make sure they have good conditions to thrive.  If they do this, they will grow and thrive.  If they neglect the students, they will wilt and not learn.",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,"I think this is true.  A coach teaches, encourages, and supports athletes as they progress and work to achieve their goals.  Teachers do the same thing for students, and it is an ongoing collaborative relationship that results in achievement if done properly or lack of success if no work and effort are put into it",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,"I can see this being true.  Students are able to go to the store and get what they need and use it to their benefit.  Same thing with a teacher and a class.  This puts power in the hands of the students to pick and choose what they want to learn from the teacher, just like they pick and choose at an app store.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"This is somewhat true, in the sense that the teacher is a guide showing the tourists around and showing students what there is to see.  it is up to the students what they want to make of it and if they want to explore it further",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,"I don't really think this is true.  A captain is in charge of a ship, andt he sailors all do what the captain says to do in order to keep the ship going.  In this metaphor, what is the ship?  I don't see any thing that it could possibly represent.  I mean in a tiny sense this is true bc the captain is in charge and the sailors are doing what he says, but a classroom shouldn't just be a dictatorship",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,,"I think it fits best because it puts empowerment into the hands of the students, and gives them the responsibility of picking the right tools from the class and teacher and using them to their benefit, rather than implying it's the teaacher's responsibility",2.0,,3.0,1.0,,1.0,4.0,"accounting",6.0,2.0,,37.0,3.0,100.0,"no","no","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM10452461299</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,1.0,2.0,5.0,5.0,4.0,3.0,2.0,1.0
,,"6/20/18 13:36","6/20/18 13:53",0.0,"12.43.89.123",100.0,1033.0,1.0,"6/20/18 13:53","R_12sUVtpgJnt3OXx",,,,,39.91549683,-88.89179993,"anonymous","EN","A2S7SSGYBNVX8H",1.0,"I think a college teacher is a good person who has to love school and wanted to never leave.  They are likely a liberal and have left leaning thoughts, but that is not usually a problem.",2.0,"I dont think that the professors have the responsibility of sculpting students.  Students have to accept what they say and agree or disagree with what the professor says.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,"This is more of something i agree with because there is some chance that a plant will not develop.  Like a student that may fail a class even with correct watering.",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,"Yes this is similar because the teacher should lead and the students follow.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,"No I dont think that students just download an interface with the teachers.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"I think that a professor is more than a tour guide.  They do indeed have the knowledge but do not just spit out stuff and students listen.  THey have a deeper understanding of the content.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,"A teacher is a leader and the students are to follow the leader.",1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,,"It is more accurate because a plant can sort of make a choice to grow.  Like a student can make a choice to accept what the teacher is saying or not.",1.0,,3.0,1.0,,1.0,3.0,"Org Leadership",5.0,2.0,,30.0,3.0,100.0,,,"<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM67277106318</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,1.0,3.0,5.0,3.0,3.0,4.0,2.0,1.0
,,"6/20/18 19:10","6/20/18 19:33",0.0,"73.168.184.71",100.0,1350.0,1.0,"6/20/18 19:33","R_1B8yJ4Ms5pTHdoB",,,,,41.58430481,-87.37310028,"anonymous","EN","A2N2GFB33ZMYGF",1.0,"College teachers give you a lot of freedom to express ideas. Also college teacher's give you more personal responsibility.",3.0,"I get the metaphor when it comes to younger students, but college students are more like stone with the teacher be the sculptor in that sense.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"Teachers give the students what they need to grow. Just like a gardener gives the plants what they need to grow.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,"Coaches by their nature are teachers. Instead teaching a sporting concept. Teachers teach students other concepts, so this metaphor works.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,"Just like the app store a teach can be accessed by the smartphone users, the students, for many different things and many different ways.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,"Guides show tourist around and give them information about where or what they are touring. Teachers do the same thing with students by showing them around.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,"A captain leads with no intention to teach his sailors. A teacher leads but also wants the students to grow and learn from how the teacher is leading.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,,"I had many great teachers that gave me information and tended to me and watched me grow in life, like the metaphor.",1.0,,1.0,2.0,,1.0,6.0,"Computer Science",5.0,2.0,,36.0,1.0,1.0,,,"<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM49185358565</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,0.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0
"2nd response from practically same IP address","Yes","6/20/18 17:24","6/20/18 17:31",0.0,"104.129.131.155",100.0,387.0,1.0,"6/20/18 17:31","R_1ES1pBuIFQK45QR",,,,,33.02000427,-96.74189758,"anonymous","EN","A28LPPFS7FW2SD",1.0,"very carying, some teacher irritated.some teacher carying me . some teacher irritated..some teacher saw partially for the student",4.0,"none",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"none",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"none",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"none",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"none",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"good",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,1.0,,1.0,1.0,,1.0,5.0,"psychology",6.0,1.0,,51.0,1.0,47.0,,,"<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM29073631145</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",0.0,1.0,,,,,,,0.0
"Copy/pasted nonsense answers","Yes",,,0.0,"138.128.93.5",100.0,825.0,1.0,,"R_1FlbiDBvkUjUVU0",,,,,30.290802,-81.63300323,"anonymous","EN","A2JE9INO9EQZBS",1.0,"some idea High school students are often taught to write essays using some variation of the five-paragraph model. A five-paragraph essay is hourglass-shaped: it begins with something general, narrows down in the middle to discuss specifics, and then branches out to more general comments at the end. In a classic five-paragraph essay, the first paragraph starts with a general statement and ends with a thesis statement containing three “points”; each body paragraph discusses one of those “points” in turn; and the final paragraph sums up what the student has written.",4.0,"High school students are often taught to write essays using some variation of the five-paragraph model. A five-paragraph essay is hourglass-shaped: it begins with something general, narrows down in the middle to discuss specifics, and then branches out to more general comments at the end. In a classic five-paragraph essay, the first paragraph starts with a general statement and ends with a thesis statement containing three “points”; each body paragraph discusses one of those “points” in turn; and the final paragraph sums up what the student has written.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"High school students are often taught to write essays using some variation of the five-paragraph model. A five-paragraph essay is hourglass-shaped: it begins with something general, narrows down in the middle to discuss specifics, and then branches out to more general comments at the end. In a classic five-paragraph essay, the first paragraph starts with a general statement and ends with a thesis statement containing three “points”; each body paragraph discusses one of those “points” in turn; and the final paragraph sums up what the student has written.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"High school students are often taught to write essays using some variation of the five-paragraph model. A five-paragraph essay is hourglass-shaped: it begins with something general, narrows down in the middle to discuss specifics, and then branches out to more general comments at the end. In a classic five-paragraph essay, the first paragraph starts with a general statement and ends with a thesis statement containing three “points”; each body paragraph discusses one of those “points” in turn; and the final paragraph sums up what the student has written.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"High school students are often taught to write essays using some variation of the five-paragraph model. A five-paragraph essay is hourglass-shaped: it begins with something general, narrows down in the middle to discuss specifics, and then branches out to more general comments at the end. In a classic five-paragraph essay, the first paragraph starts with a general statement and ends with a thesis statement containing three “points”; each body paragraph discusses one of those “points” in turn; and the final paragraph sums up what the student has written.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"High school students are often taught to write essays using some variation of the five-paragraph model. A five-paragraph essay is hourglass-shaped: it begins with something general, narrows down in the middle to discuss specifics, and then branches out to more general comments at the end. In a classic five-paragraph essay, the first paragraph starts with a general statement and ends with a thesis statement containing three “points”; each body paragraph discusses one of those “points” in turn; and the final paragraph sums up what the student has written.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"High school students are often taught to write essays using some variation of the five-paragraph model. A five-paragraph essay is hourglass-shaped: it begins with something general, narrows down in the middle to discuss specifics, and then branches out to more general comments at the end. In a classic five-paragraph essay, the first paragraph starts with a general statement and ends with a thesis statement containing three “points”; each body paragraph discusses one of those “points” in turn; and the final paragraph sums up what the student has written.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,"no",1.0,,1.0,3.0,,1.0,6.0,"engineer",5.0,1.0,"no",57.0,2.0,79.0,"no","no","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM97495565052</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",0.0,0.0,,,,,,,0.0
"3rd response from practically same IP address","Yes","6/20/18 8:52","6/20/18 9:10",0.0,"104.129.131.193",100.0,1062.0,1.0,"6/20/18 9:10","R_1GIdKgJOIZoDZ1v",,,,,33.02000427,-96.74189758,"anonymous","EN","ADNSFH55XO2F8",1.0,"In my thought about a college teacher as a good person or a friend.because they hep or motivated to grew up to the life to next level and to the world.",5.0,"agree to this because they are create the students life.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"yes,somewhat agree because they are protect or save the students life.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"yes,they are coach because like a game.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"somewhat agree because they are some interesting knowledge have.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"yes,somewhat agree a college teachers are like tour guide because they are shows good way to the life journey",0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"yes,because they are shows the good life to the world.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,"they are shows interesting knowledge and different life styles.",1.0,,3.0,1.0,,1.0,6.0,"maths",6.0,1.0,"it was my hobbie",44.0,1.0,60.0,"no","no","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM38390565371</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",0.0,0.0,,,,,,,0.0
,,"6/21/18 3:07","6/21/18 3:29",0.0,"197.89.219.176",100.0,1317.0,1.0,"6/21/18 3:29","R_1gtkWpTEalza49I",,,,,-25.46670532,30.96670532,"anonymous","EN","A203N4FQBD94ZS",1.0,"Older and very educated. Someone who has had many years experience with teaching, handling people, and life in general.",4.0,"It makes sense because the teacher is ""Sculpting"" the student into the form that they want them to be through teaching.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,"I see how this makes sense because a gardener takes care of his plants to help them grow into the best of what they can be much like a teacher with their students.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,"I can see how its true mostly. The coach is the person who trains the athletes to be better at what they do mentally and physically. The difference is it is for a game and a team.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,"I dont really see the connection on this one. A smartphone user would search through the app store and pick and choose what they decide to read or use where as a teacher teaches you what THEY have planned and you listen and take notes.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,"I agree with this for the most part. A tour guide educates tourists about the area and what they are exploring. And the tourists are there to learn about that particular subject. Just like in college where you choose to learn about a subject and the teacher is there to educate.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,"I feel like a captain on a ship is a leader with a goal and purpose for himself or his company and the crew is just workers taking command and doing their job that they already know how to do. They are not learning from the captain or using the experience to better their self for the next step in life.",0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,,"It just sounds the most fitting. As a student, you are fresh and growing and learning. If there teacher does his job right the student will blossom into a ""full grown flower"" AKA someone who is mature, educated and ready.",1.0,,3.0,1.0,,1.0,6.0,"Digital Art and Design",5.0,2.0,,28.0,2.0,60.0,"no","no thanks","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM56317609868</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0
,,"6/20/18 23:46","6/20/18 23:56",0.0,"104.10.82.85",100.0,577.0,1.0,"6/20/18 23:56","R_1H2dAEkQhctiyCR",,,,,30.54229736,-97.91760254,"anonymous","EN","ARG392N6HWZCJ",1.0,"I think about a trainer.  They are like someone training a group of people.  They are also a conductor.",4.0,"Teachers help mold students.  However, they arent the end all be all",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,"Students arent plants they are humans",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"Teachers do guide students like coaches",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,"They seem incompatible",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,"Tour guides do inform, but they are more informal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,"It is a great metaphor.  Teachers lead a ship with many students and sailors.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,"It sounds so much more meaningful to me.",1.0,,3.0,1.0,,1.0,1.0,"chemistryq",5.0,2.0,,23.0,1.0,20.0,"none","thanks","<span style=""color:#000000;""><span style=""font-weight: 700; font-size: 16px;"">TM15233993004</span><span style=""font-size: 16px; font-weight: 700;"">1806</span></span>",1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0
