StudyID,Study,Condition,Durationinseconds,worker,Q93,teacher_thoughts,metaphor_think,transfer,holdattention,communicate,present,challenge,motivate,participate,question,conversation,stimulate,answer,knowadvance,expectations,rules,knowledgeable,respect,prepared,confident,posenviron,care,feedback,gettoknow,needs,understanding,available,listen,personable,community,knowotherstudents,support,teamwork,discussion,debate,creative,goal,effort,influence,adapt,experts,authority,intelligent,abstract,knowtalkabout,ATTCHK4,metaphorother,teacresponsibility,studresponsibility,tvs,influence_learn,influence_develop,favorite_metaphor,favorite_metaphor_8_TEXT,Metaphor_justify,gender,attentioncheck,race,race_7_TEXT,college,Collegelongago,education,teachexp,experience_free,age_1,political,political_4_TEXT,lib_cons_1,Q92,Q93_A,f2_nurterer,f3_authority,f1_communitybuilder,f4_engagingcommunicator,f5_stimulator
1,1,coach,431,A35KO5LPASBFI9,1,They're laid back and do not worry about whether or not you know what you are doing. They're also slow to answer emails.,Teachers coach the students to learn whatever topic they are covering. Teachers coach the students to learn whatever topic they are covering.,5,5,5,6,6,6,6,5,5,5,5,6,6,4,5,5,6,5,4,5,5,5,5,5,4,4,6,5,3,5,5,6,6,5,5,6,5,5,6,5,6,4,5,4,NA,27,99,2,76,62,2,NA,They give the students the knowledge they need to help us grow.,2,3,1,NA,3,2,3,2,NA,24,2,NA,51,No,No,0.039066835,-0.088860156,-0.009524682,-0.001611046,0.542558834
2,1,coach,355,A3NQ988D43B0JW,1,"I think of someone who wants to be in a possition of power, i have never had a teacher who did not get a fat head about being in charge.","The teacher passes on the knowladge but the student does all the real work. Just in the way the couch tells them how to train, but the athletes do the hard part.",6,3,5,5,2,5,3,3,4,4,5,2,4,5,4,2,3,4,2,3,3,5,5,6,2,5,3,5,5,6,5,4,3,2,6,2,5,3,2,5,3,3,3,4,NA,53,37,2,63,32,3,NA,I think it fits the best.,1,3,1,NA,3,2,3,2,NA,24,3,NA,100,NA,NA,-0.560528943,-0.885056344,0.436477566,-0.909647586,-0.71696888
3,1,coach,470,AHIJACUG7ZL9B,1,I think of them as being somewhat impersonal and they tend to be a bit on the biased side personally.,"They could be if they actually motivated you, but college teachers really don't care whether you come to class or not.",3,4,4,4,3,3,3,4,4,4,4,4,3,3,4,4,3,3,4,4,3,2,3,4,3,4,3,4,4,3,4,4,4,4,3,3,4,4,3,4,4,4,4,4,NA,86,34,1,97,89,5,Teachers are just there,Personally when I went to college the teachers were pretty hands off and really didnt care about how we did or whether we came.,1,3,1,NA,3,2,3,2,NA,28,2,NA,49,NA,NA,-1.191134926,-1.016591082,-0.486825186,-1.221932325,-0.33274691
4,1,gardener,490,A2OXTS31LD48BC,1,"Sophisticated, no-nonsense individual working to educate young adults and prepare them for a particular field of study.",A teacher provides students with the necessary tools to grow and develop. They cultivate the minds of their students much like a gardener does with their plants.,7,4,5,6,4,6,4,4,4,7,6,5,4,5,7,2,7,2,4,7,5,4,5,4,5,6,4,3,2,3,2,5,2,6,5,7,7,7,7,3,6,2,6,4,NA,96,5,1,87,100,3,NA,"This one explains how teachers help shape and mold students. They have a great influence on their students. However, it is not just their responsibility for the student's success. The student must also work hard.",2,3,1,NA,3,5,4,2,NA,27,1,NA,11,NA,NA,0.70541082,-1.461905793,-1.339490927,-0.837156821,-0.201080669
5,1,gardener,1236,A3UPZ88FI1EJC,1,A college teacher has more power than many realize. A college teacher can change the course of a student's life with more than just academic information.,"The students are growing and need guidance and help, which is where the teacher comes in in order to help them flourish.",6,6,6,5,6,6,5,5,6,6,6,6,6,6,6,6,5,5,6,5,5,6,5,6,5,5,6,6,5,6,5,6,5,6,6,5,6,5,5,6,6,5,5,4,I believe everything I could have thought of has been covered.,72,61,1,73,65,1,NA,I feel as though college is where most student need the most important guidance and education. A student is an unfinished mold of clay that needs directional help.,2,1,1,NA,3,5,3,2,NA,29,3,NA,73,No issues at all,"Not at this time, thank you",0.239739477,0.485654295,0.54360358,0.47908741,0.468433215
6,1,sculptor,1052,A3646CCXYLGK6M,1,I think of an educated adult teaching other adults. A professor training you for your field of choice.,"A sculptor builds and creates, just as a college teacher builds and sculpt the mind. Just as clay(students) can be molded by the sculptor so is the teachers job to do the same with a learning mind.",7,3,3,6,5,4,2,5,5,6,3,6,4,4,7,3,5,3,2,2,5,2,2,2,2,3,3,4,2,3,2,5,5,6,5,5,6,4,6,5,6,5,6,4,No,81,30,1,91,84,4,NA,"I feel a teacher is like a tour guide to the work field showing ,you how to navigate until your able to do it in your own. It changes my views and makes me admire the work even more.",1,3,2,NA,3,2,3,2,NA,28,2,NA,50,No,No,-1.510559864,-0.864990829,-1.211557293,-1.385259999,0.39521301
7,1,sculptor,540,A3VRW4BA7LREYO,1,Working with young adults and spreading knowledge in the best way I can. Also encouraging in depth thought and debate on topics,It is a professors job to mold the students how they see fit and teach them how to appropriately see the world around them,7,6,7,7,6,6,2,1,3,3,3,6,6,6,7,7,7,6,4,3,5,3,2,3,3,2,2,3,2,3,3,3,2,3,7,5,7,2,7,7,6,2,6,4,NA,93,39,1,98,97,2,NA,It is similar to the clay metaphor but I find it is more honest because what you're doing is more akin to helping them grown into their own rather than sculpting them to your ideals and views,1,3,1,NA,3,3,3,2,NA,28,1,NA,7,I did not,I do not,-1.895510601,0.965087861,-1.108393537,0.06788608,-1.639264877
8,1,tourguide,1166,A3302168IZJTMX,1,I think of a smart educated person sharing their knowledge with people who want to learn. I think of someone who cares about the personal academic goals of individual students.,A teacher guides students through a journey involving the student's professional and educational goals. The teacher helps them (students) navigate through knowledge and ideas.,7,1,6,6,3,7,2,5,6,7,7,6,6,1,6,1,7,3,5,7,6,5,6,3,5,7,5,5,1,2,3,5,1,3,7,5,6,7,6,1,6,6,7,4,N/A,90,90,1,97,69,3,NA,I think it fits the most because teachers train students to remember information. They also influence how they think and challenge certain ideas etc. Students use these tools to achieve a good grade (like a score).,2,3,1,NA,3,3,3,1,I worked in a preschool setting. I worked mostly with the toddler aged group.,29,1,NA,15,N/A,Thanks for the survey!,1.124738132,-2.237518847,-1.352646388,-0.531568687,-0.341013283
9,1,tourguide,1025,A3AJWZZYNIZQXY,1,I think of someone that is knowledgeable and wise. Someone that can help you see and think of things from a different angle.,A teacher is a lot like a tour guide because they guide us through what they learned in life and teach us everything they know that students don't.,7,7,7,7,4,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,5,7,4,NA,100,100,1,100,100,4,NA,"It is the most identical metaphor that makes the most sense. In a way, teachers are most like a tour guide to students",2,2,1,NA,3,5,3,2,NA,26,3,NA,77,No,No,1.364777453,0.986633375,1.387087412,1.305878276,1.344288655
10,1,tourguide,821,A33M7EZ72P8TWF,1,a responsible person. a mentor and a teacher. A friendly person and a patient person who can relate well with the you,"the teacher guides his students on the steps to take, where to read and how to read.he guides them in behavior and life choices",6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,4,no,80,81,1,60,64,1,NA,because it clearly depicts the relationship between the teacher and his student.,1,3,2,NA,3,3,5,2,NA,30,1,NA,9,none,none,0.629190625,0.348406932,0.607974801,0.640615573,0.830922824
11,1,coach,1233,A16DMEHVXW2F7Y,1,A professor is usually a person who has studied hard and knows their material well now whether they teach it well is up to them.,A coach is someone who prepares their players for competition by imparting valuable information to them and the athletes learn and practice like a teacher.,5,5,5,7,4,4,5,4,5,4,5,6,5,6,7,6,6,5,5,5,5,4,4,4,6,4,6,4,4,5,4,5,5,6,6,6,6,7,6,7,6,6,6,4,Teachers are individuals.,80,60,1,92,95,1,NA,"I think sometimes we forget that what we put in is what we get out. As an education major myself, when I decided to join my university's teaching program, this was something that I considered heavily. To consider the clay and sculptor metaphor is most telling of teaching and learning. In its purest form, clay represents potential and the sculptor is the one that has the ability to change the piece of clay into the most remarkable vase/sculpture/anything ever.  But without effort, clay remains clay.",2,3,2,NA,2,NA,3,2,NA,18,2,NA,46,NA,NA,-0.106416767,0.515258304,-0.115533105,-0.051602637,-0.04344356
