worker,Condition,metaphor_think
A35KO5LPASBFI9,coach,Teachers coach the students to learn whatever topic they are covering. Teachers coach the students to learn whatever topic they are covering.
A3NQ988D43B0JW,coach,The teacher passes on the knowledge but the student does all the real work. Just in the way the couch tells them how to train but the athletes do the hard part.
AHIJACUG7ZL9B,coach,They could be if they actually motivated you but college teachers really dont care whether you come to class or not.
A2OXTS31LD48BC,gardener,A teacher provides students with the necessary tools to grow and develop. They cultivate the minds of their students much like a gardener does with their plants.
A3UPZ88FI1EJC,gardener,The students are growing and need guidance and help which is where the teacher comes in in order to help them flourish.
A3646CCXYLGK6M,sculptor,A sculptor builds and creates just as a college teacher builds and sculpt the mind. Just as clay students can be molded by the sculptor so is the teachers job to do the same with a learning mind.
A3VRW4BA7LREYO,sculptor,It is a professors job to mold the students how they see fit and teach them how to appropriately see the world around them
A3302168IZJTMX,tourguide,A teacher guides students through a journey involving the students professional and educational goals. The teacher helps them students navigate through knowledge and ideas.
A3AJWZZYNIZQXY,tourguide,A teacher is a lot like a tour guide because they guide us through what they learned in life and teach us everything they know that students dont.
A33M7EZ72P8TWF,tourguide,The teacher guides his students on the steps to take where to read and how to read. He guides them in behavior and life choices.
A16DMEHVXW2F7Y,coach,A coach is someone who prepares their players for competition by imparting valuable information to them and the athletes learn and practice like a teacher.
A1PXXMC3GQT2II,coach,A teacher is similar to a coach because the teacher guides the students to perform their best similar to how a coach guides athletes to perform their best and navigate obstacles.
A2Q8N687305WLH,coach,A teacher passes on their knowledge of the game to their students and can guide them in the correct direction to win.
AR5Z036T6NLBY,coach,A teacher prepares students for life in the same way a coach prepares people for games. A teacher can help students devise strategies learn patterns and learn to problem solve in real life situations.
A322XYNEK21I27,coach,Teachers coach their students into learning the material for the class and for their exams. Students are like athletes because they use the information from the teacher or coach and implement it into real life or game.
A3T7N805PVNEXN,coach,The coach is there to help the athlete and give them guidance much like a teacher does to their students.
A2U5DWGXEAIWYE,gardener,I think this means that they are someone who natures and sees about the students to make sure they grow in the best possible light.
AHKRGPN5D3I2G,gardener,It means that a teacher will plant on a student their ideas theories and past experiences so that the student can grow.
A3V8C77FN4FLUA,gardener,The teacher nurtures and cares for the students and helps them grow. If the teacher doesnt do their part the student will likely not thrive and grow.
A1F4N58CAX8IMK,gardener,A college teacher can dispense knowledge and help students grow. Or over water them...or under water them and expect them to grow twice as high.
ABUZC6X6W11ZR,gardener,A teacher nurtures and takes care of the students just like a gardener to his or her plants. To make sure they grown and learn properly so that they dont metaphorically die.
A1THXHPVWVEWNZ,sculptor,A college teacher can mold or shape his or her students into the type of person who understands and can perform well at whatever subject theyre being taught
A5K108EWACHK5,sculptor,A college teacher can expand the mind of students by making them think about things they have never thought.  The teacher also makes their mind think in ways they have never thought before.  After being taught they are like a different person and are thus sculpted.
A1V6L58XUX4K71,sculptor,A teacher has all the power in the world when it comes to shaping kids into who they become as adults. They have the choice to have a positive or negative impact on the students they teach.
APHF6Z7738OYK,sculptor,a teacher molds his students to his thoughts. STudents come to the teacher to learn and he dispenses the knowledge he has
A3HZFB2JLF3JMY,sculptor,"First of all this metaphor is way shorter than the one I just had to write and secondly its pretty cool not sure why specifically clay but okay
"
