Teachers,coach,the,students,to,learn,whatever,topic,they,are,covering,.,Teachers,coach,the,students,to,learn,whatever,topic,they,are,covering,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,teacher,passes,on,the,knowledge,but,the,student,does,all,the,real,work,.,Just,in,the,way,the,couch,tells,them,how,to,train,but,the,athletes,do,the,hard,part,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They,could,be,if,they,actually,motivated,you,but,college,teachers,really,dont,care,whether,you,come,to,class,or,not,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,coach,is,someone,who,prepares,their,players,for,competition,by,imparting,valuable,information,to,them,and,the,athletes,learn,and,practice,like,a,teacher,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,is,similar,to,a,coach,because,the,teacher,guides,the,students,to,perform,their,best,similar,to,how,a,coach,guides,athletes,to,perform,their,best,and,navigate,obstacles,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,passes,on,their,knowledge,of,the,game,to,their,students,and,can,guide,them,in,the,correct,direction,to,win,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,prepares,students,for,life,in,the,same,way,a,coach,prepares,people,for,games,.,A,teacher,can,help,students,devise,strategies,learn,patterns,and,learn,to,problem,solve,in,real,life,situations,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teachers,coach,their,students,into,learning,the,material,for,the,class,and,for,their,exams,.,Students,are,like,athletes,because,they,use,the,information,from,the,teacher,or,coach,and,implement,it,into,real,life,or,game,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,coach,is,there,to,help,the,athlete,and,give,them,guidance,much,like,a,teacher,does,to,their,students,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,coach,teaches,his,athletes,the,rules,and,fundamentals,of,the,game,students,are,similar,to,athletes,because,they,are,the,ones,that,come,to,the,coach,to,learn,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,teaches,students,like,a,coach,teaches,athletes,.,That,is,what,I,think,it,means,.,I,dont,know,what,else,to,write,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,dont,adhere,to,this,metaphor,at,all,because,a,teacher,is,a,teacher,and,nothing,is,comparable,to,a,coach,.,The,students,are,not,athletes,in,any,manner,as,they,are,not,physically,active,in,any,way,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teachers,can,be,like,coaches,because,they,both,try,to,teach,and,better,who,they,are,in,charge,of,either,students,or,athletes,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,coach,is,the,leader,of,the,team,and,tries,to,improve,the,team,as,a,whole,.,Athletes,learn,from,the,coach,just,like,students,learn,from,the,teacher,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,teacher,instructs,the,students,how,to,learn,the,lesson,just,as,a,coach,instructs,athletes,how,to,play,a,game,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,teacher,is,the,head,of,the,team,.,They,are,in,charge,of,helping,the,athletes,be,the,best,that,they,can,be,.,The,teachers,help,them,accomplish,their,goal,to,succeed,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they,get,you,to,work,hard,and,achieve,a,goal,or,target,.,like,your,goal,for,education,they,instruct,and,provide,encouragement,and,feedback,when,needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,coach,is,someone,who,has,been,doing,it,for,years,much,like,a,teacher,.,The,student,is,learning,from,the,teacher,or,coach,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,college,teacher,can,be,like,a,coach,because,they,both,instruct,their,pupils,how,to,get,better,at,a,particular,subject,.,Students,are,like,athletes,because,they,need,guidance,from,more,experienced,people,like,coaches,and,teachers,to,learn,what,they,want,to,do,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,college,teacher,can,be,a,coach,because,they,are,training,students,for,life,just,like,a,coach,of,a,team,would,train,the,athletes,.,They,push,you,until,youre,ready,and,understand,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,college,teacher,can,be,a,coach,to,the,students,athlete,because,the,teacher,just,provides,guidance,and,hones,in,on,the,knowledge,that,the,student,already,had,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,college,teacher,can,be,like,a,coach,because,he,helps,guide,and,influence,the,students,athletes,on,their,path,to,success,.,He,or,she,can,also,share,their,experience,which,is,important,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,college,teacher,can,be,like,a,coach,by,instructing,students,on,how,to,work,on,the,classwork,.,Students,are,like,athletes,by,receiving,the,instruction,and,expertise,on,subjects,from,the,college,teacher,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,college,teacher,guides,students,to,being,the,best,version,of,themselves,by,encouraging,them,to,be,studious,just,as,a,coach,would,help,athletes,and,push,them,to,their,physical,limits,.,A,college,professor,pushes,students,to,their,mental,limits,and,beyond,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,college,teacher,instructs,and,guides,the,students,or,athletes,that,put,forth,their,effort,much,like,how,athletes,put,forth,physical,effort,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,college,teacher,is,basically,a,guide,.,A,guide,to,what,we,are,supposed,to,do,in,class,and,in,our,future,careers,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,college,teacher,is,like,a,coach,in,that,they,provide,students,with,a,plan,of,action,and,instructions,to,improve,performance,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,college,teacher,is,like,a,coach,int,he,sense,that,they,are,giving,their,play,by,play,to,inform,them,on,how,to,play,the,game,class,.,The,students,being,the,athletes,listen,to,the,coach,to,get,the,best,idea,on,how,to,win,the,game,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,college,teacher,trains,us,to,be,the,best,in,our,field,as,a,coach,trains,athletes,to,perform,well,during,their,sport,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,good,coach,can,teach,the,necessary,skills,in,a,variety,ways,so,that,everyone,can,get,it,or,at,least,everyone,has,a,chance,to,get,it,.,Even,at,the,highest,levels,coaches,are,still,as,much,teachers,as,they,are,motivators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,metaphor,is,a,figure,of,speech,used,to,compare,something,to,another,.,A,college,teacher,is,like,a,coach,since,they,can,be,a,mentor,and,teach,younger,generations,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,professor,being,like,a,coach,makes,sense,.,They,are,helping,to,guide,you,to,the,end,goal,.,They,help,you,learn,the,rules,.,Students,are,athletes,who,train,for,the,test,or,final,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,can,guide,a,student,through,the,sport,of,education,and,learning,.,The,teacher,can,coach,a,student,on,the,subject,they,are,learning,and,point,out,what,they,are,doing,well,and,not,so,well,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,can,instruct,you,as,a,student,of,learning,.,They,have,done,it,before,and,you,are,still,learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,coaches,the,students,through,the,process,of,gaining,knowledge,just,as,a,coach,coaches,athletes,through,a,sport,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,directs,students,on,what,to,learn,and,in,what,order,calls,the,plays,and,the,students,run,the,plays,to,perfection,hoping,to,do,well,on,the,tests,the,games,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,is,coaching,through,a,subject,.,The,athlete,must,learn,the,material,in,this,case,it,would,be,taught,by,the,coach,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,is,leading,a,student,to,their,victory,.,When,players,are,on,a,team,their,goal,is,a,victory,.,Teachers,are,the,coaches,or,leaders,who,show,them,how,to,win,the,game,and,reach,their,goal,or,victory,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,is,like,a,coach,because,coaches,teach,and,mentor,their,athletes,and,prepare,them,for,what,they,need,to,do,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,is,like,a,coach,because,they,basically,guide,students,to,knowledge,just,as,a,coach,leads,their,athletes,to,skill,and,success,.,Students,are,like,athletes,because,they,must,listen,to,their,respective,leader,in,order,to,succeed,at,their,goals,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,is,like,a,coach,in,that,they,coach,students,on,how,they,can,become,better,at,their,profession,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,is,like,a,coach,in,that,theyre,motivating,you,and,training,you,and,helping,you,get,better,in,a,certain,subject,.,Students,are,like,athletes,in,that,the,teacher,or,coach,is,their,leader,and,they,look,to,them,for,direction,and,instruction,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,is,like,a,couch,because,like,a,couch,the,teachers,want,the,students,to,do,well,and,they,are,a,teach,where,like,the,coach,they,are,there,to,make,sure,they,are,prepared,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,leads,you,to,victory,by,telling,you,what,to,do,or,what,to,learn,.,You,may,no,always,win,but,what,they,taught,you,will,always,remain,with,you,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,mentors,the,students,by,conveying,ideas,and,perspectives,.,Students,are,like,athletes,in,that,they,go,to,class,and,train,their,mental,agility,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,prepares,his,or,her,students,to,perform,well,just,like,a,coach,does,for,a,game,.,A,teacher,and,coach,both,want,the,best,for,their,pupils,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,recognizes,the,potential,in,a,student,using,their,advanced,expertise,and,draws,it,out,optimally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,tries,to,improve,people,mentally,just,like,a,coach,tries,to,maximize,physical,ability,in,his,athletes,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,teacher,like,a,coach,provides,direction,and,training,so,that,their,students,can,reach,their,maximum,potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Both,a,coach,and,teacher,provide,knowledge,to,someone,.,Students,like,athletes,are,both,learning,something,here,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coaches,and,teachers,both,try,to,get,the,best,effort,and,results,from,the,students,or,athletes,they,are,working,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coaches,guide,the,athletes,on,their,teams,through,a,lot,of,practice,and,correction,.,This,metaphor,is,saying,that,teachers,do,the,same,thing,.,They,provide,encouragement,and,training,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coaches,teach,their,athletes,how,to,perform,in,sports,just,like,college,teachers,teach,their,students,how,to,perform,in,their,academics,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College,teachers,are,like,coaches,because,they,have,been,in,the,students,situation,before,and,have,years,of,experience,so,they,can,now,coach,them,on,what,to,do,and,what,not,to,do,to,succeed,in,their,area,of,expertise,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College,teachers,are,like,coaches,because,they,help,train,their,students,mind,by,giving,them,drills,of,sorts,.,Teachers,help,students,learn,by,coaching,them,with,lessons,and,practice,problems,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College,teachers,can,actually,be,like,coaches,because,they,train,us,in,the,education,field,.,Just,like,they,do,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College,teachers,can,provide,the,guidelines,and,help,to,improve,the,performance,as,well,as,encourage,their,students,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
