Finished,worker,Q93,teacher_thoughts,memorycheck,favorite_metaphor,favorite_metaphor_5_TEXT,Metaphor_justify,gender_1,gender_2,gender_3,gender_4,gender_4_TEXT,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_7_TEXT,college,College-longago,education,teachexp,experience_free,age_1,political,political_4_TEXT,lib_cons_1,Q92,Q93_1,condition,metaphor_think,teacresp,studresp,tvs,inflearn,infdevelop,metaphor_other,care,needs,gettoknow,stimulate,respect,authority,rules,expectations,communicate,holdattention,personable,community,knowotherstudents,support,teamwork,adapt,discussion,debate,question,confident,attchk4,GotPaid,pa2_nurterer,pa3_authority,pa1_communitybuilder,pa4_engagingcommunicator,pa5_stimulator
1,A1XIADQR1BY59W,1,A college teacher is open-minded and encourages abstract thinking. A college teacher is very well-educated on a specific subject.,4,2,NA,"A teacher helps their students grow. They plant the seeds of education and, although students grow on their own, they are responsible for watering them and ensuring they are cared for properly.",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,5,1,I teach several classes to adults with mental illness- a cooking class and a journaling class.,26,1,NA,24,No,No,tourguide,"A teacher knows the information well and it is their job to help the students understand it, just like a tour guide knows an area well and helps tourists navigate it.",82,30,1,80,30,NA,6,5,5,6,5,6,5,5,5,6,5,6,5,5,6,5,5,5,5,5,4,1,0.198895648,0.04989996,0.472219212,0.144445375,0.220395192
1,A2A8SIW7CX1PGJ,1,"I first think of professor obviously, and that leads to me to someone that is there to research in their field and/or educate the youth.",1,3,NA,"This metaphor show that it is not only the teacher encouraging the students, but also the students encouraging each other with a common goal in mind between them all, showing a development of teamwork.",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,5,3,I was a swim coach for children.,22,1,NA,36,NA,NA,sculptor,"Teachers have an idea of what they want the students to ultimately be, however the clay must be proper and willing to be molded",100,20,1,100,100,NA,3,5,4,3,4,7,5,6,1,2,1,1,1,1,1,6,1,1,1,4,4,1,-0.482778792,-0.021023753,-2.295072462,-2.780470215,-1.934927417
1,A2HNSMIG9KZYAE,1,A seasoned professional who has experienced the ups and downs of the profession and its various subjects,3,3,NA,"I think it best represents the situation. As people each are student and teachers are equal, similar to how coaching works. Athletes must buy into a plan and understand it to be successful. Students must buy into the teaching to fully grasp the knowledge and experience from it",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,21,2,NA,25,NA,NA,coach,"A teacher does not just teach their students, by directs them in them game of life. Essentially you are showing them the path, not just imputing information",82,90,2,70,70,NA,7,7,7,7,7,5,6,7,7,6,7,7,6,6,7,7,7,7,7,7,4,1,1.388471677,0.837471303,1.177840931,1.216222814,1.409885747
1,A1UZXOMO6BS6I2,1,I imagine a person has a depth of knowledge in a particular subject and likes to share that knowledge with younger people.,4,3,NA,"I like this metaphor for college teaching because I think teachers should have the most responsibility for student learning. Teachers should try to train the students with the information and knowledge they process, and provide some degree of individual attention using resources such as email or office visits. Teacher should also try to motivate students to want to learn.",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,5,2,NA,23,1,NA,20,NA,NA,tourguide,The teacher is a tour guide since he is very knowledgeable about something and wants to show and share that knowledge with interested students. Tourists sign up for a knowledge tour from the teacher.,40,70,2,70,30,NA,4,5,4,6,5,5,5,5,6,5,5,3,4,4,4,5,5,5,5,5,4,1,-0.313128665,-0.156716529,-0.560157127,0.094981569,0.355872452
1,A25CZJEFKXF4UV,1,I think a college teacher is one who begins someones journey into a career field. Which in turn can shape someones life.,3,3,NA,I think that it just fits well in that they are not really your friends but care for you and want to help you get better.,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,4,2,NA,24,3,NA,87,nope,all good,coach,This is true because they are trying to help the students get better in a certain topic just like a coach.,90,10,1,97,50,all good,7,7,7,6,7,6,7,6,7,6,6,7,7,7,7,6,7,6,7,6,4,1,1.136521532,0.889697434,1.50690689,0.990217583,1.043549475
1,A1WT259JPLE3KT,1,"Someone who wants to mould the minds of our future, they want to make a difference in our lives and inspire us to do great things.",2,4,NA,I prefer this metaphor because teachers give us the basics of certain subjects (Music theory for example.) and show us different aspects of the subject. We can then use what we know to explore and expand our base knowledge.,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,26,1,NA,0,I did not.,NA,gardener,"Teachers take the time to help students learn and expand their knowledge of subjects, just how gardeners spend time watering plants and making sure they grow.",90,85,1,95,90,NA,6,5,6,5,6,6,7,6,6,5,6,6,6,6,6,5,6,6,7,6,4,1,0.225073874,0.709261574,0.888240012,0.416636667,0.932863758
1,A28KO6ERL8TYNT,1,"a college teacher is either a hit or miss. Sometimes they are really good at teaching, sometimes they are not.",1,3,NA,"A coach pushes the student to do better and its their decision to do what they want to do. Basically, a coach is just a mentor.",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,5,2,NA,23,1,NA,11,no,no,sculptor,A teacher is shaping the students to what they will be in the future. They are kind of responsible for their future.,50,51,1,50,68,no,3,4,4,4,4,2,3,2,3,4,2,3,3,2,3,2,3,2,4,3,4,1,-1.36954293,-1.69619473,-1.179165197,-1.53662288,-1.051007427
1,A2LMJ9PGUL962L,1,"College professors are usually intelligent, well spoken, and very educated in their field. College professors are also usually working on a side project alongside of teaching students in the classroom.",1,3,NA,"I chose this metaphor because I think it fits better. A teacher is like a coach because the coach's goal is for the athlete to succeed, but ultimately, it is up to the athlete [or student] to decide how much effort they are going to put into their work, if they will take the coach's suggestions, and they are also able and expected to learn from other sources.",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,5,2,NA,23,1,NA,0,no,no,sculptor,"A teacher is like a sculptor in that the teacher is showing their students how to do something or think a certain way, therefore shaping the students abilities/thought processes in the way the teacher deems fit.",100,10,1,100,100,NA,1,1,4,4,7,7,7,7,4,4,4,3,3,3,4,1,3,2,7,7,4,1,-2.552811868,1.519819207,-0.898053489,-0.749505979,-0.509013432
1,A1BDJMFP24FBGL,1,"Someone who shows up and reads out of a text book or powerpoint. Some professors have excellent class discussions and explanations, but most, in my experience, just show up and read aloud.",2,4,NA,"Because teachers essentially show up to show you the important things you need to learn. ""read this section, write a paper on this"" with some mild explanations of things, like a tour guide would show you a place or thing, give you a brief explanation and then let you wander to decide for yourself what you want to learn.",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,24,1,NA,0,No.,No.,gardener,"Teachers are usually not gardeners. There is no gardener. Students are plants, books are rain. The end.",85,12,1,87,81,NA,2,1,3,5,3,4,4,5,4,3,5,1,3,1,1,1,5,4,6,6,4,1,-2.315605025,-0.631371356,-1.971805021,-0.777795904,0.222280484
1,A28PBIZ3X36QIQ,1,Someone who has been burdened by debt and cannot take any job that is less than a college gig. They are probably somewhat adept in teaching their subject but if they are young they are mostly there to pay off their loans and survive. If they are old it means they are well versed in their study and are experts,4,2,NA,The teacher can do all they can do but it is up to the plant/student as to whether if it wants to grow or not.,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,6,1,"I was a graduate assistant while I was in grad school, I taught microbiology to a freshman class.",27,1,NA,0,none,none,tourguide,Teachers lead the student from subject to subject. When they stop at a topic they stop and tell the students all they know about the topic and move on in a rush because they have a time line they need to achieve.,62,100,2,82,27,NA,3,6,4,4,6,3,6,5,3,5,6,4,2,2,6,4,4,6,5,6,4,1,-0.680734907,-0.110170385,-0.664367529,-0.535366135,0.689554815
